source,bias,factual_reporting
eastidahonews.com,neutral,high
eastvalleytribune.com,neutral,high
eatthis.com,neutral,mixed
leadertelegram.com,neutral,high
elkodaily.com,neutral,high
elnuevodia.com,neutral,high
yoursun.com,neutral,high
goerie.com,neutral,high
err.ee,neutral,high
dailypress.net,neutral,high
echo-news.co.uk,neutral,high
eurasiagroup.net,left-center,high
times-standard.com,neutral,high
everycrsreport.com,neutral,high
factcheck.org,neutral,high
factwire.org,neutral,high
fairmontsentinel.com,neutral,high
fayobserver.com,neutral,high
federalnewsnetwork.com,neutral,high
ft.com,neutral,high
firstcoastnews.com,neutral,high
firstdraftnews.org,neutral,high
sentinelandenterprise.com,neutral,high
floridapolitics.com,neutral,high
jacksonville.com,left-center,high
foreignaffairs.com,neutral,high
foreignpolicy.com,neutral,high
messengernews.net,neutral,high
ftleavenworthlamp.com,neutral,high
fortmorgantimes.com,neutral,high
fosters.com,neutral,high
fourstateshomepage.com,neutral,high
france24.com,neutral,high
thefranklinnewspost.com,neutral,high
fredericksburg.com,neutral,high
fredericknewspost.com,neutral,high
fremonttribune.com,neutral,high
advocate-news.com,neutral,high
fullfact.org,neutral,high
gallup.com,neutral,high
gctelegram.com,neutral,high
geek.com,neutral,high
geekwire.com,neutral,high
gilbertsunnews.com,neutral,high
sun-courier.com,neutral,high
gladstonedispatch.com,neutral,high
glendalestar.com,neutral,high
postindependent.com,neutral,high
globalintegrity.org,neutral,high
globalslaveryindex.org,neutral,high
globegazette.com,neutral,high
goodnewsnetwork.org,neutral,high
gao.gov,neutral,high
govtrack.us,neutral,high
granitefallsnews.com,neutral,high
thegraftonnews.com,neutral,high
theindependent.com,neutral,high
greatfallstribune.com,neutral,high
greenbaypressgazette.com,neutral,high
greenvilleonline.com,neutral,high
ground.news,neutral,mixed
group30.org,neutral,high
presstelegram.com,neutral,high
ycombinator.com,neutral,mixed
hiawathaworldonline.com,neutral,high
hamburgreporter.com,neutral,high
journal-news.com,neutral,high
hanfordsentinel.com,neutral,mixed
hbr.org,neutral,high
harvard.edu,neutral,high
hastingstribune.com,neutral,high
hdnews.net,neutral,high
herald-review.com,neutral,high
dailybreeze.com,neutral,high
heterodoxacademy.org,neutral,high
hickoryrecord.com,neutral,high
homelandsecuritynewswire.com,neutral,high
howstuffworks.com,neutral,high
howtogeek.com,neutral,high
i24news.tv,neutral,mixed
idahostatesman.com,neutral,high
inc.com,neutral,high
helenair.com,neutral,high
ivn.us,neutral,high
indexmundi.com,neutral,high
indystar.com,neutral,high
dailybulletin.com,neutral,high
iwpr.org,neutral,high
ipi.media,neutral,high
investing.com,neutral,mixed
investopedia.com,neutral,high
ipsos.com,neutral,high
ironmountaindailynews.com,neutral,high
jaxdailyrecord.com,neutral,high
japantimes.co.jp,neutral,high
kaaltv.com,neutral,high
abc7.com,neutral,high
kadn.com,neutral,high
kagstv.com,neutral,high
kait8.com,neutral,high
kalb.com,neutral,high
everythinglubbock.com,neutral,high
myhighplains.com,neutral,high
yaktrinews.com,neutral,high
myarklamiss.com,neutral,high
kare11.com,neutral,high
kark.com,neutral,high
katc.com,neutral,high
alaskasnewssource.com,neutral,high
newschannel6now.com,neutral,high
crossroadstoday.com,neutral,high
kbjr6.com,neutral,high
12newsnow.com,neutral,high
kbtx.com,neutral,high
kcbd.com,neutral,high
kcci.com,neutral,high
thedenverchannel.com,neutral,high
kcentv.com,neutral,high
newspressnow.com,neutral,high
kcrg.com,neutral,high
q13fox.com,neutral,high
kcra.com,neutral,high
kctv5.com,neutral,high
wyomingnewsnow.tv,neutral,high
cw33.com,neutral,high
cbs4local.com,right-center,high
fox4news.com,neutral,high
kdrv.com,neutral,high
kdvr.com,neutral,high
kearneyhub.com,neutral,high
keloland.com,neutral,high
kens5.com,neutral,high
myeasternshoremd.com,neutral,high
turnto23.com,neutral,high
kesq.com,neutral,high
ketk.com,neutral,high
ketv.com,neutral,high
blackhillsfox.com,neutral,high
keyc.com,neutral,high
cbsaustin.com,right-center,high
keyt.com,neutral,high
keysnews.com,neutral,high
kezi.com,neutral,high
newschannel10.com,neutral,high
cbs8.com,neutral,high
nwahomepage.com,neutral,high
kfvs12.com,neutral,high
kfyrtv.com,neutral,high
kget.com,neutral,high
hawaiinewsnow.com,neutral,high
kgns.tv,neutral,high
yourcentralvalley.com,neutral,high
kgw.com,neutral,high
wyomingnewsnow.tv,neutral,high
4029tv.com,neutral,high
khits.com,neutral,high
khon2.com,neutral,high
khou.com,neutral,high
actionnewsnow.com,neutral,high
cw39.com,neutral,high
myfoxzone.com,neutral,high
kiem-tv.com,neutral,high
localnews8.com,neutral,high
kiiitv.com,neutral,high
knopnews2.com,neutral,high
kimt.com,neutral,high
king5.com,neutral,high
kion546.com,neutral,high
kiowacountysignal.com,neutral,high
kiplinger.com,neutral,high
kiro7.com,neutral,high
kitv.com,neutral,high
kivitv.com,neutral,high
kjct8.com,neutral,high
kktv.com,neutral,high
8newsnow.com,neutral,high
klax-tv.com,neutral,high
klfy.com,neutral,high
ourquadcities.com,neutral,high
fox16.com,neutral,high
kltv.com,neutral,high
kmbc.com,neutral,high
abc17news.com,neutral,high
kmov.com,neutral,high
nbcnebraskascottsbluff.com,neutral,high
3newsnow.com,neutral,high
kmvt.com,neutral,high
knoe.com,neutral,high
knopnews2.com,neutral,high
1011np.com,neutral,high
abc15.com,neutral,high
koaa.com,neutral,high
koamnewsnow.com,neutral,high
koat.com,neutral,high
kob.com,neutral,high
koin.com,neutral,high
fox23.com,neutral,high
kold.com,neutral,high
1011now.com,neutral,high
kolotv.com,neutral,high
ozarksfirst.com,neutral,high
kompas.com,neutral,mixed
cbs7.com,neutral,high
kotatv.com,neutral,high
newson6.com,neutral,high
kpax.com,neutral,high
kristv.com,neutral,high
kplctv.com,neutral,high
click2houston.com,neutral,high
kptv.com,neutral,high
kpvi.com,neutral,high
krdo.com,neutral,high
krem.com,neutral,high
fox26houston.com,neutral,high
kron4.com,neutral,high
krqe.com,neutral,high
krtv.com,neutral,high
ksat.com,neutral,high
fox10phoenix.com,neutral,high
ksbw.com,neutral,high
ksdk.com,neutral,high
dakotanewsnow.com,neutral,high
kshb.com,neutral,high
ksl.com,neutral,high
ksla.com,neutral,high
ksnblocal4.com,neutral,high
ksnt.com,neutral,high
ksn.com,neutral,high
ky3.com,neutral,high
kstp.com,neutral,high
fox5sandiego.com,neutral,high
kswo.com,neutral,high
bigcountryhomepage.com,neutral,high
arklatexhomepage.com,neutral,high
fox7austin.com,neutral,high
ktvb.com,neutral,high
ktiv.com,neutral,high
ktla.com,neutral,high
ktnv.com,neutral,high
ktre.com,neutral,high
ktsm.com,neutral,high
kttc.com,neutral,high
foxla.com,neutral,high
webcenterfairbanks.com,neutral,high
ktvh.com,neutral,high
fox2now.com,neutral,high
ktvq.com,neutral,high
ktvu.com,neutral,high
abc4.com,neutral,high
ktvz.com,neutral,high
fox40.com,neutral,high
nonstoplocal.com,neutral,high
valleycentral.com,neutral,high
kvia.com,neutral,high
kvoa.com,neutral,high
kvue.com,neutral,high
fox5vegas.com,neutral,high
kwch.com,neutral,high
newswest9.com,neutral,high
fox44news.com,neutral,high
weau.com,neutral,high
news9.com,neutral,high
kwtx.com,neutral,high
kwwl.com,neutral,high
kxan.com,neutral,high
kxii.com,neutral,high
kxlf.com,neutral,high
kxlh.com,neutral,high
kxly.com,neutral,high
kxnet.com,neutral,high
fox21news.com,neutral,high
abc10.com,neutral,high
kxxv.com,neutral,high
kyma.com,neutral,high
kyoutv.com,neutral,high
cbs19.tv,neutral,high
lacrossetribune.com,neutral,high
ledevoir.com,neutral,high
lahainanews.com,neutral,high
record-bee.com,neutral,high
lakegenevanews.net,neutral,high
hometownsource.com,left-center,high
lalibre.be,neutral,high
law360.com,neutral,high
ljworld.com,neutral,high
leavenworthtimes.com,neutral,high
ldnews.com,neutral,high
lebanon-express.com,neutral,high
wellingtondailynews.com,neutral,high
lesoir.be,neutral,high
lexch.com,neutral,high
lrt.lt,neutral,high
liveuamap.com,neutral,mixed
lancasteronline.com,neutral,high
logically.ai,neutral,high
lompocrecord.com,neutral,high
timescall.com,neutral,high
reporterherald.com,neutral,high
lovelycitizen.com,neutral,high
lowellsun.com,neutral,high
newsadvance.com,neutral,high
mapleridgenews.com,left-center,high
marinij.com,neutral,high
emountainwave.com,neutral,high
timesrepublican.com,neutral,high
martinsvillebulletin.com,neutral,high
mcdowellnews.com,neutral,high
mcphersonsentinel.com,neutral,high
mediapost.com,neutral,high
commercialappeal.com,neutral,high
mendocinobeacon.com,neutral,high
myrecordjournal.com,neutral,high
themesatribune.com,neutral,high
newsnationnow.com,neutral,high
republic-online.com,neutral,high
millburysutton.com,neutral,high
livemint.com,neutral,mixed
modernhealthcare.com,neutral,high
monroenews.com,left-center,high
thenewsstar.com,left-center,high
montenews.com,neutral,high
mooresvilletribune.com,neutral,high
morganton.com,neutral,high
morningconsult.com,neutral,high
flippinonline.com,neutral,high
muscatinejournal.com,neutral,high
mynewsla.com,neutral,mixed
navytimes.com,neutral,high
newarkpostonline.com,neutral,high
newfolks.com,neutral,high
newsandnews.com,neutral,high
news24.com,neutral,high
newsguardtech.com,neutral,high
nujournal.com,neutral,high
nknews.org,neutral,mixed
northkoreatimes.com,neutral,mixed
nptelegraph.com,neutral,high
northtamatelegraph.com,neutral,high
nwfdailynews.com,neutral,high
nwitimes.com,neutral,high
novinite.com,neutral,mixed
oanow.com,neutral,high
openmindmag.org,neutral,high
oregonlive.com,neutral,high
ormondbeachobserver.com,neutral,high
orovillemr.com,neutral,high
ottawaherald.com,neutral,high
oxfordmail.co.uk,neutral,high
parkrecord.com,neutral,high
pasadenastarnews.com,neutral,high
pjstar.com,neutral,high
peoriatimes.com,neutral,high
pewresearch.org,neutral,high
starheraldnews.com,neutral,high
pontevedrarecorder.com,neutral,high
yoursun.com,neutral,high
pratttribune.com,neutral,high
pressofatlanticcity.com,neutral,high
punchbowl.news,neutral,high
queencreektribune.com,neutral,high
journaltimes.com,neutral,high
audacy.com,neutral,high
rferl.org,neutral,mixed
rainylakegazette.com,neutral,high
rand.org,neutral,high
ravallirepublic.com,neutral,high
redding.com,left-center,high
redbluffdailynews.com,neutral,high
redlandsdailyfacts.com,neutral,high
redwoodfallsgazette.com,neutral,high
repustar.com,neutral,high
reuters.com,neutral,high
rexburgstandardjournal.com,neutral,high
rfi.fr,neutral,mixed
rocanews.com,neutral,mixed
rte.ie,neutral,high
sgvtribune.com,neutral,high
santacruzsentinel.com,neutral,high
santansun.com,neutral,high
starherald.com,neutral,high
scottsdaleairpark.com,neutral,high
scottsdale.org,neutral,high
semafor.com,neutral,high
shareably.net,neutral,mixed
valleynewstoday.com,neutral,high
shorensteincenter.org,neutral,high
sierrasun.com,neutral,high
simplepolitics.co.uk,neutral,high
skyhinews.com,neutral,high
sky.com,neutral,high
sleepyeyenews.com,neutral,high
aspentimes.com,neutral,high
socialmediatoday.com,neutral,high
orangeobserver.com,neutral,high
spectrumlocalnews.com,neutral,high
ny1.com,neutral,high
spectrumreport.com,neutral,mixed
springfieldnewssun.com,neutral,high
spotlightpa.org,neutral,high
newspressnow.com,neutral,high
statista.com,neutral,high
steamboatpilot.com,neutral,high
journal-advocate.com,neutral,high
sjnewsonline.com,neutral,high
strategypage.com,neutral,high
studyfinds.org,neutral,high
cecildaily.com,neutral,high
swvatoday.com,neutral,high
tahoedailytribune.com,neutral,high
tamatoledonews.com,neutral,high
techspot.com,neutral,high
thefoothillsfocus.com,neutral,high
tetonvalleynews.net,neutral,high
digitaltrends.com,neutral,high
argonautnews.com,neutral,high
afr.com,right-center,high
thebalance.com,neutral,high
thebulltulsa.com,neutral,high
thecanadianpress.com,neutral,high
cepr.org,neutral,high
columbian.com,neutral,high
constitution.com,neutral,high
daily-chronicle.com,neutral,high
tdn.com,neutral,high
dailyprogress.com,neutral,high
thediplomat.com,neutral,high
929thedrive.com,neutral,high
economist.com,neutral,high
thefencepost.com,neutral,high
theflipside.io,neutral,high
hjnews.com,neutral,high
thehill.com,neutral,mixed
jordantimes.com,neutral,mixed
themanual.com,neutral,high
mariettatimes.com,neutral,high
miningjournal.net,neutral,high
mcall.com,neutral,high
scnow.com,neutral,high
thekansan.com,neutral,high
newsvirginian.com,neutral,high
monmouth.edu,neutral,high
postandcourier.com,neutral,high
poststar.com,neutral,high
syracuse.com,neutral,high
theprimarymarket.com,neutral,mixed
recordnet.com,neutral,high
theregister.com,neutral,high
therepublic.com,neutral,high
masslive.com,neutral,high
thecalifornian.com,left-center,high
scotsman.com,neutral,high
cumberlink.com,neutral,high
thesmokinggun.com,neutral,high
sociable.co,neutral,high
thesouthern.com,neutral,high
spokesman.com,neutral,high
stardem.com,neutral,high
thestrategybridge.org,neutral,high
tennessean.com,neutral,high
thetandd.com,neutral,high
thetowntalk.com,neutral,high
trentonian.com,neutral,high
theunion.com,neutral,high
vindy.com,neutral,high
wcfcourier.com,neutral,high
theunion.com,neutral,high
zdf.de,neutral,high
thirdway.org,neutral,mixed
thoughtco.com,neutral,high
thv11.com,neutral,high
timesofsandiego.com,neutral,high
magicvalley.com,neutral,high
todayifoundout.com,neutral,high
tonganoxiemirror.com,neutral,high
transparency.org,neutral,high
transpartisanreview.com,neutral,mixed
record-eagle.com,neutral,high
tribunecontentagency.com,neutral,high
tri-cityherald.com,neutral,high
truthorfiction.com,neutral,high
tucsonweekly.com,neutral,high
tut.by,neutral,mixed
tvw.org,neutral,high
loganwoodbine.com,neutral,high
ukiahdailyjournal.com,neutral,high
upi.com,neutral,high
house.gov,neutral,high
uscourts.gov,neutral,high
usaspending.gov,neutral,high
usafacts.org,neutral,high
standard.net,right-center,high
vaildaily.com,neutral,high
timesheraldonline.com,neutral,high
vcreporter.com,neutral,high
verifythis.com,neutral,high
voanews.com,neutral,high
vinnews.com,neutral,mixed
votesmart.org,neutral,high
waaytv.com,neutral,high
deltanews.tv,neutral,high
wabi.tv,neutral,high
wacotrib.com,neutral,high
wafb.com,neutral,high
fox5atlanta.com,neutral,high
wagmtv.com,neutral,high
wahoo-ashland-waverly.com,neutral,high
fox10tv.com,neutral,high
walb.com,neutral,high
wandtv.com,neutral,high
wane.com,neutral,high
waow.com,neutral,high
wapt.com,neutral,high
warontherocks.com,neutral,high
c-span.org,neutral,high
wtop.com,neutral,high
wate.com,neutral,high
localmemphis.com,neutral,high
wave3.com,neutral,high
wavy.com,neutral,high
wbaltv.com,neutral,high
wbay.com,neutral,high
wbir.com,neutral,high
wbko.com,neutral,high
wbng.com,neutral,high
10tv.com,neutral,high
wbrc.com,neutral,high
pahomepage.com,neutral,high
wbtv.com,neutral,high
wbtw.com,neutral,high
wcax.com,neutral,high
counton2.com,neutral,high
wcia.com,neutral,high
nbc4i.com,neutral,high
wcnc.com,neutral,high
wcpo.com,neutral,high
live5news.com,neutral,high
wctv.tv,neutral,high
wcvb.com,neutral,high
fox4kc.com,neutral,high
wdam.com,neutral,high
fox40jackson.com,neutral,high
wdbj7.com,neutral,high
dcnewsnow.com,neutral,high
wdio.com,neutral,high
clickondetroit.com,neutral,high
wdrb.com,neutral,high
wdsu.com,neutral,high
wdtn.com,neutral,high
wdtv.com,neutral,high
wearethemighty.com,neutral,high
wect.com,neutral,high
25newsnow.com,neutral,high
tristatehomepage.com,neutral,high
weny.com,neutral,high
wesh.com,neutral,high
westernmassnews.com,neutral,high
westvalleyview.com,neutral,high
wvpublic.org,neutral,high
mytwintiers.com,neutral,high
wiproud.com,neutral,high
wevv.com,neutral,high
news5cleveland.com,neutral,high
wfaa.com,neutral,high
mychamplainvalley.com,neutral,high
wfft.com,neutral,high
14news.com,neutral,high
wfla.com,neutral,high
fox32chicago.com,neutral,high
wflx.com,neutral,high
wfmynews2.com,neutral,high
wfmz.com,neutral,high
wearegreenbay.com,neutral,high
wfsb.com,neutral,high
wfxrtv.com,neutral,high
boston25news.com,neutral,high
wgal.com,neutral,high
nbc26.com,neutral,high
cbs46.com,neutral,high
wgem.com,neutral,high
westernmassnews.com,neutral,high
myfox8.com,neutral,high
brproud.com,neutral,high
wgntv.com,neutral,high
wgno.com,neutral,high
wtkr.com,neutral,high
wgrz.com,neutral,high
whas11.com,neutral,high
whatculture.com,neutral,high
fox13memphis.com,neutral,high
whec.com,neutral,high
whio.com,neutral,high
whittierdailynews.com,neutral,high
foxcarolina.com,neutral,high
whnt.com,neutral,high
who13.com,neutral,high
whsv.com,neutral,high
abc27.com,neutral,high
cbs42.com,neutral,high
kansas.com,neutral,high
erienewsnow.com,neutral,high
wicz.com,neutral,high
wilx.com,neutral,high
winknews.com,neutral,high
newschief.com,left-center,high
wistv.com,neutral,high
channel3000.com,neutral,high
wisn.com,neutral,high
fox6now.com,neutral,high
witn.com,neutral,high
wivb.com,neutral,high
wjbf.com,neutral,high
wjhg.com,neutral,high
wjhl.com,neutral,high
wjtv.com,neutral,high
fox8.com,neutral,high
news4jax.com,neutral,high
wkbn.com,neutral,high
news8000.com,neutral,high
wkbw.com,neutral,high
clickorlando.com,neutral,high
wkow.com,neutral,high
wkrg.com,neutral,high
wkyc.com,neutral,high
wlns.com,neutral,high
wlbt.com,neutral,high
lex18.com,neutral,high
wlfi.com,neutral,high
hometownstations.com,neutral,high
wlky.com,neutral,high
wlox.com,neutral,high
wltx.com,neutral,high
uppermichiganssource.com,neutral,high
wlwt.com,neutral,high
wmar2news.com,neutral,high
centralillinoisproud.com,neutral,high
fox47.com,right-center,high
tv20detroit.com,neutral,high
cbs17.com,neutral,high
wnct.com,neutral,high
wndu.com,neutral,high
wnem.com,neutral,high
wnyt.com,neutral,high
fox5ny.com,neutral,high
wogx.com,neutral,high
hometownstations.com,neutral,high
weareiowa.com,neutral,high
cleveland19.com,neutral,high
woodtv.com,neutral,high
spectrumnews1.com,neutral,high
wowktv.com,neutral,high
wowt.com,neutral,high
wpbf.com,neutral,high
phl17.com,neutral,high
fox43.com,neutral,high
mynbc5.com,neutral,high
wqad.com,neutral,high
mystateline.com,neutral,high
wrex.com,neutral,high
wrtv.com,neutral,high
wsfltv.com,neutral,high
wsoctv.com,neutral,high
localsyr.com,neutral,high
fox61.com,neutral,high
tmj4.com,neutral,high
wtsp.com,neutral,high
wtvm.com,neutral,high
fox13news.com,neutral,high
wtvy.com,neutral,high
wikinews.org,neutral,high
wikipedia.org,neutral,mixed
winnipegfreepress.com,neutral,high
winonadailynews.com,neutral,high
journalnow.com,neutral,high
wionews.com,neutral,mixed
madison.com,neutral,high
fox2detroit.com,neutral,high
fox46.com,neutral,high
wkrn.com,neutral,high
wvlt.tv,neutral,high
raleighcw.com,neutral,high
13wmaz.com,neutral,high
actionnews5.com,neutral,high
wmtw.com,neutral,high
wmur.com,neutral,high
wnep.com,neutral,high
fox35orlando.com,neutral,high
dailydemocrat.com,neutral,high
worldometers.info,neutral,high
worldpoliticsreview.com,left-center,high
worldpopulationreview.com,neutral,mixed
pix11.com,neutral,high
wpri.com,neutral,high
wpta21.com,neutral,high
wpxi.com,neutral,high
wqow.com,neutral,high
wral.com,left-center,high
wrbl.com,neutral,high
wrdw.com,neutral,high
wreg.com,neutral,high
wric.com,neutral,high
rochesterfirst.com,neutral,high
wsav.com,neutral,high
wsaz.com,neutral,high
wsbtv.com,neutral,high
wsfa.com,neutral,high
wsiltv.com,neutral,high
wsls.com,neutral,high
wsmv.com,neutral,high
wspa.com,neutral,high
fox47news.com,neutral,high
wtae.com,neutral,high
wearecentralpa.com,neutral,high
wtap.com,neutral,high
news10.com,neutral,high
wthitv.com,neutral,high
wthr.com,neutral,high
wtnh.com,neutral,high
wtok.com,neutral,high
wtol.com,neutral,high
fox5dc.com,neutral,high
cbs4indy.com,neutral,high
wtva.com,neutral,high
newschannel5.com,neutral,high
13abc.com,neutral,high
fox29.com,neutral,high
wusa9.com,neutral,high
13newsnow.com,neutral,high
nbc29.com,neutral,high
wvtm13.com,neutral,high
fox8live.com,neutral,high
wvva.com,neutral,high
nbc12.com,neutral,high
wwlp.com,neutral,high
wwnytv.com,neutral,high
my9nj.com,neutral,high
mysuncoast.com,neutral,high
11alive.com,neutral,high
wxii12.com,neutral,high
fox59.com,neutral,high
fox19.com,neutral,high
fox17online.com,neutral,high
wwltv.com,neutral,high
wxow.com,neutral,high
wxyz.com,neutral,high
wyff4.com,neutral,high
wymt.com,neutral,high
wytv.com,neutral,high
rocketcitynow.com,neutral,high
wzmq19.com,neutral,high
wzzm13.com,neutral,high
yle.fi,neutral,mixed
yorknewstimes.com,neutral,high
zdnet.com,neutral,high
accountable.us,left,mixed
act.tv,left,mixed
aftonbladet.se,left,mixed
aldianews.com,left,mixed
afj.org,left,high
altnews.in,left,high
alternet.org,left,mixed
aidc.org.za,left,high
americanbridgepac.org,left,mixed
americanoversight.org,left,mixed
au.org,left,high
angrywhitemen.org,left,mixed
azmirror.com,left,high
arkansasadvocate.com,left,high
attackthesystem.com,left,mixed
autostraddle.com,left-center,high
baltimoresun.com,left,mixed
ebar.com,left,high
beingliberal.org,left,mixed
billmoyers.com,left,mixed
bitchmedia.org,left,high
blackagendareport.com,left,mixed
blackamericaweb.com,left,mixed
blacklivesmatter.com,left,mixed
blackmainstreet.net,left,mixed
bnc.tv,left,mixed
boingboing.net,left,mixed
bostonreview.net,left,high
brut.media,left,mixed
bust.com,left,mixed
calltoactivism.com,left,mixed
canadafactcheck.ca,left,mixed
antihate.ca,left,high
canadiandimension.com,left,mixed
capitalandmain.com,left,high
care2.com,left,mixed
ceasefiremagazine.co.uk,left,high
americanprogress.org,left,mixed
prwatch.org,left,high
c4ss.org,left,mixed
change.org,left,mixed
chicagoreader.com,left,high
chicagoreporter.com,left,high
china.org.cn,left-center,mixed
citybeat.com,left,high
citizencritics.org,left,mixed
clevescene.com,left,high
climatechangenews.com,left,high
cnn.com,left,mixed
codepink.org,left,mixed
coloradotimesrecorder.com,left,high
colorlines.com,left,high
columbusfreepress.com,left,mixed
comicsands.com,left,mixed
commondreams.org,left,high
communemag.com,left,mixed
consortiumnews.com,left,mixed
copblock.org,left,mixed
cosmopolitan.com,left,mixed
countercurrents.org,left,mixed
counterpunch.org,left,mixed
crikey.com.au,left,high
crimethinc.com,left,high
crooked.com,left,mixed
crooksandliars.com,left,mixed
currentaffairs.org,left,high
curvemag.com,left,high
thedailybeast.com,left,mixed
